object_type,type,rooms,level,kitchen_area,living_area,area,price_by_meter,price,material,published,updated,build_year,build_serias,build_type,max_levels,min_levels,rubbish_chute,enterances,build_overlap,build_walls,heating,gas,longitude,latitude,agencyName,areaRating,city,remoute_from_center,build_oldest
0,Многоквартирный дом,1,5/9,,,37.0,946.0,35000.0,Панель,10/2/2022,10/2/2022,1964,П-18/22,0,9,9,Есть,1,Железобетонные,Монолитные,Центральное,Да,37.630169,55.873589,ANASTASIYA,3.8943492999999996,Москва,13.54403646183729,old
0,Квартира,2,6/12,10.0,32.0,48.0,1042.0,50000.0,Панель,11/6/2021,10/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.738737,55.606472,Агентство недвижимости,3.7452233,Москва,17.982215910231023,new
0,Многоквартирный дом,2,8/22,11.0,35.0,70.0,786.0,55000.0,Монолит,8/2/2022,10/2/2022,2016,Монолит,0,22,22,Есть,4,Железобетонные,Монолитные,Центральное,Нет,37.329438,55.634801,Максгарантнедвижимость,3.8388906000000005,Москва,22.240695623042924,new
0,Многоквартирный дом,1,1/12,10.0,18.0,35.7,1204.0,43000.0,Панель,5/8/2021,10/2/2022,1977,П-68,0,12,12,Есть,3,Железобетонные,Железобетон,Центральное,Нет,37.4135851692831,55.8519060158069,Ольга,4.0291705,Москва,16.840857075545728,old
0,Многоквартирный дом,3,7/7,37.0,45.0,130.0,2692.0,350000.0,Кирпич,7/2/2022,10/2/2022,1907,индивидуальный проект,0,0,1,Нет,1,Деревянные,Монолитные,Центральное,Да,37.646813,55.760276,НЕДВИЖИМОСТЬ КОНАКОВО,3.8119370000000004,Москва,2.1574947533459436,old
0,Квартира,0,5/5,9.0,9.0,19.0,2421.0,45990.0,Кирпич,16/10/2021,7/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.576153000000005,55.845924,Александр,4.2535715,Москва,10.721569495042363,new
0,Квартира,0,8/15,,,20.0,2150.0,43000.0,Монолит,8/2/2022,8/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.414409,55.618883,Алексей,3.8388906000000005,Москва,19.505256788355858,new
0,Квартира,1,3/11,17.0,12.7,37.0,1351.0,50000.0,Монолит,7/2/2022,10/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.690111,55.871602,ПИК-Аренда,3.8712779999999998,Москва,14.089651594735654,new
0,Многоквартирный дом,1,5/17,14.0,10.0,36.0,833.0,30000.0,Кирпич,8/7/2018,9/2/2022,2018,индивидуальный проект,0,17,17,Есть,4,Железобетонные,Монолитные,Индивидуальный тепловой пункт (ИТП),Нет,37.961303,55.697241000000005,Магазин,3.8388906000000005,Москва,22.570792539066545,new
0,Квартира,2,24/25,22.0,23.1,53.9,1245.0,67100.0,Панель,7/2/2022,7/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.732665000000004,55.662222,ПИК-Аренда,3.2261912999999995,Москва,12.4336384512809,new
